id,coin_id,coin_name,coin_symbol,date_event,created_date,title,description,category_id,category_name,proof,source,is_hot,vote_count,positive_vote_count,percentage,can_occur_before,load_date
10032,blockport,Blockport,BPT,2018-12-31,2018-03-13 13:45:39,BPT 3.0 Beta Release,Blockport beta 3.0 will be released supporting most popular ERC-20 tokens(100+). Full ownership for our members to store funds on-chain.,10,Announcement/News,https://coinmarketcal.com/images/proof/532ed2f2c135a07d91eb5d094e2ebf3a.png,https://www.blockport.io/,False,24,24,100,True,2018-03-26 00:03:29
7942,selfkey,Selfkey,KEY,2018-12-31,2018-02-02 02:08:33,Desktop App Beta,Beta launch of SelfKey desktop app,1,Release,https://coinmarketcal.com/images/proof/0fbb1f2949787a1c53dc6549d65b3815.png,https://selfkey.org/,False,25,24,96,True,2018-03-26 00:03:29
8561,etherparty,Etherparty,FUEL,2018-12-31,2018-02-15 06:36:06,Release Three,Contract Templates And Library Front end Updates Mobile App Team Features,1,Release,https://coinmarketcal.com/images/proof/ddc939d351294c2572a6d601e7694ac0.png,https://etherparty.com/token/,False,25,24,96,True,2018-03-26 00:03:29
7916,pivx,PIVX,PIVX,2018-12-31,2018-02-02 01:25:15,U2F Integration,Access to your PIVX wallet can be protected by both password and U2F security key effectively protecting against hackers and keylogger.,1,Release,https://coinmarketcal.com/images/proof/01fc6d7274e92a9918346252e21320ed.png,https://pivx.org/what-is-pivx/roadmap/,False,31,26,84,True,2018-03-26 00:03:29
6797,aigang,Aigang,AIX,2018-12-31,2018-01-21 13:27:49,V2.0  Platform Release,Release v2.0. Machine learning real-time pricing algorithm analytical platform tokenised Insurance risk pools.,1,Release,https://coinmarketcal.com/images/proof/f575c10b075c488052acc7bfe6741f41.png,https://aigang.network/#roadMap,False,27,24,89,True,2018-03-26 00:03:29
9046,amber,Ambrosus,AMB,2018-12-31,2018-02-22 04:14:20,Mainnet  V 2.0,An enterprise-ready blockchain solution that powers dozens of real-world applications,1,Release,https://coinmarketcal.com/images/proof/b43be6143ab735d41dd46252ac379367.jpeg,https://blog.ambrosus.com/ambrosus-network-amb-net-roadmap-2018-83a436d59562,False,20,20,100,True,2018-03-26 00:03:29
7915,pivx,PIVX,PIVX,2018-12-31,2018-02-02 01:21:56,I2P Network,I2P is an anonymizing network that uses a fully decentralized peer-to-peer model.,1,Release,https://coinmarketcal.com/images/proof/1a72ec6d547e06ace207d70fe3684063.png,https://pivx.org/what-is-pivx/roadmap/,False,31,25,81,True,2018-03-26 00:03:29
9497,ethlend,ETHLend,LEND,2018-12-31,2018-03-03 08:02:33,Other Altcoin Lending,EthLend will add other altcoins & tokens for lending.,7,Other,https://coinmarketcal.com/images/proof/550b59032ec82231a43734fb8bf57d1d.jpeg,https://ethlend.io/en/roadmap/,False,23,21,91,True,2018-03-26 00:03:29
9497,ethlend,ETHLend,LEND,2018-12-31,2018-03-03 08:02:33,Other Altcoin Lending,EthLend will add other altcoins & tokens for lending.,10,Announcement/News,https://coinmarketcal.com/images/proof/550b59032ec82231a43734fb8bf57d1d.jpeg,https://ethlend.io/en/roadmap/,False,23,21,91,True,2018-03-26 00:03:29
7914,pivx,PIVX,PIVX,2018-12-31,2018-02-02 01:20:47,Elastic Block Sizes,Block size adjusts on demand to ensure the fastest transactions possible even during peak periods and network attacks.,1,Release,https://coinmarketcal.com/images/proof/0c5555e750ef66bc053930547d6ae892.png,https://pivx.org/what-is-pivx/roadmap/,False,30,24,80,True,2018-03-26 00:03:29
