id,exchange_name,exchange_pair,volume(24h),price,volume(%)
bitcoin,Bitfinex,BTC/USD,649825000,9788.00,0.1
bitcoin,OKEx,BTC/USDT,463785000,9841.80,0.07139999999999999
bitcoin,Binance,BTC/USDT,406806000,9846.60,0.0626
bitcoin,bitFlyer,BTC/JPY,272080000,9882.44,0.04190000000000001
bitcoin,Upbit,BTC/KRW,244096000,10140.30,0.037599999999999995
bitcoin,GDAX,BTC/USD,211625000,9798.65,0.0326
bitcoin,Huobi,BTC/USDT,206221000,9834.57,0.0317
bitcoin,Bithumb,BTC/KRW,198095000,10128.00,0.0305
bitcoin,Bitstamp,BTC/USD,158040000,9796.00,0.024300000000000002
bitcoin,OKEx,ETH/BTC,154190000,9817.42,0.023700000000000002
bitcoin,OKEx,LTC/BTC,136535000,9772.92,0.021
bitcoin,Kraken,BTC/EUR,135842000,9826.69,0.0209
bitcoin,Kraken,BTC/USD,122304000,9796.40,0.018799999999999997
bitcoin,BTCC,BTC/USD,108993000,10440.00,0.0168
bitcoin,OKEx,ETC/BTC,79385400,9797.99,0.012199999999999999
bitcoin,OKEx,BCH/BTC,74374700,9801.17,0.011399999999999999
bitcoin,Lbank,VEN/BTC,56267700,9830.44,0.0087
bitcoin,HitBTC,BTC/USDT,55628200,10009.50,0.0086
bitcoin,HitBTC,BCH/BTC,55515400,9795.27,0.0085
bitcoin,Binance,ETH/BTC,54039200,9803.93,0.0083
bitcoin,Binance,TRX/BTC, 51330900,9815.55,0.0079
bitcoin,Gemini,BTC/USD,51038500,9802.87,0.0079
bitcoin,Lbank,QTUM/BTC,50179400,9790.37,0.0077
bitcoin,Bittrex,BTC/USDT,47192300,9876.78,0.0073
bitcoin,Bit-Z,ETH/BTC,43074500,9791.40,0.0066
bitcoin,Bit-Z,TRX/BTC,39544400,9815.55,0.0060999999999999995
bitcoin,Lbank,BCC/BTC,38870900,9847.23,0.006
bitcoin,Binance,NCASH/BTC,38416000,9762.08,0.0059
bitcoin,GDAX,BTC/EUR,37805700,9853.19,0.0058
bitcoin,Coinone,BTC/KRW,37595900,10136.50,0.0058
bitcoin,Poloniex,BTC/USDT,37405700,9846.61,0.0058
bitcoin,Bitfinex,BTC/EUR,34702500,9811.53,0.0053
bitcoin,Bitstamp,BTC/EUR,29752600 ,9823.89,0.0046
bitcoin,HitBTC,ETH/BTC,29387800,9817.15,0.0045000000000000005
bitcoin,Binance,NANO/BTC,28903000,9771.29,0.0044
bitcoin,EXX,ETH/BTC,28325300,9814.27,0.0044
bitcoin,Bitbank,BTC/JPY,27293900,9906.92,0.0042
bitcoin,Huobi,ONT/BTC,26740500,9972.30,0.0040999999999999995
bitcoin,Bit-Z,EKT/BTC,25296500,9787.92,0.0039000000000000003
bitcoin,Binance,IOST/BTC,25238900, 9875.09,0.0039000000000000003
bitcoin,Korbit,BTC/KRW,25179700,10127.60,0.0039000000000000003
bitcoin,CoinEgg,ETH/BTC,23514900,9843.83,0.0036
bitcoin,CEX.IO,BTC/USD,23456900,10046.50,0.0036
bitcoin,Bit-Z,LTC/BTC,22284000,9790.93,0.0034000000000000002
bitcoin,CoinsBank,BTC/USD,21853800,9577.53,0.0034000000000000002
bitcoin,Bittrex,ADA/BTC,21487200,9944.80,0.0033
bitcoin,Binance,BNB/BTC,20724700,9820.70,0.0032
bitcoin,HitBTC,DASH/BTC,20292900,9837.32,0.0031
bitcoin,CoinEgg,NEO/BTC,20103400,9575.83,0.0031
bitcoin,CoinsBank,BTC/EUR,19852000,9799.68,0.0031
bitcoin,Binance,XRP/BTC,17380900,9775.18,0.0027
bitcoin,Binance,DLT/BTC,16935700,9765.56,0.0026
bitcoin,Upbit,ADA/BTC,16853500,9944.80,0.0026
bitcoin,CoinsBank,BTC/GBP,16675200,9788.87,0.0026
bitcoin,itBit,BTC/USD,16238600,9795.00,0.0025
bitcoin,Bittrex,NBT/BTC,16212200,9887.36,0.0025
bitcoin,Huobi,TRX/BTC,15488900,9778.70,0.0024
bitcoin,HitBTC,XMR/BTC,15307600,9799.97,0.0024
bitcoin,Bit-Z,XRB/BTC,14601700,9771.29,0.0022
bitcoin,Neraex,BTC/JPY,14509900,9881.87,0.0022
bitcoin,Binance,ZIL/BTC,14454900,9794.77,0.0022
bitcoin,Exmo,BTC/USD,14301800,10075.00,0.0022
bitcoin,Huobi,HT/BTC,13674500,9869.93,0.0021
bitcoin,Binance,ADA/BTC,12913600,9970.48 ,0.002
bitcoin,Binance,NEO/BTC,12841500,9766.17,0.002
bitcoin,Binance,BCC/BTC,12657300,9800.91,0.0019
bitcoin,Binance,VEN/BTC,12619500,9801.96,0.0019
bitcoin,Binance,LTC/BTC,12473700,9792.44,0.0019
bitcoin,Huobi,ABT/BTC,12367800,9814.00,0.0019
bitcoin,CoinEgg,TRX/BTC,12100500,9820.49,0.0019
bitcoin,Bitfinex,ETH/BTC,12003900,9811.65,0.0018
bitcoin,Poloniex,ETH/BTC,11604700,9825.29,0.0018
bitcoin,Bittrex,XEM/BTC,11554300,9907.31,0.0018
bitcoin,Coinbene,BTC/USDT,11463900,9831.04,0.0018
bitcoin,Paribu,BTC/TRY,11393000,9795.68,0.0018
bitcoin,Livecoin,ETH/BTC,10972200,9834.08 ,0.0017000000000000001
bitcoin,Tidex,WAVES/BTC,10850800,9784.13,0.0017000000000000001
bitcoin,WEX,BTC/USD,10753600,9812.00,0.0017000000000000001
bitcoin,YoBit,ETH/BTC,10514600,9839.35,0.0016
bitcoin,LakeBTC,BTC/USD,10460600,10388.00,0.0016
bitcoin,Bit-Z,BCH/BTC,10272700,9800.91,0.0016
bitcoin,Bitfinex,BCH/BTC,10170700,9804.07,0.0016
bitcoin,Livecoin,BTC/USD,9974540,10200.00,0.0015
bitcoin,Bit-Z,OC/BTC,9887840,9697.93,0.0015
bitcoin,Bittrex,ETH/BTC,9634680,9785.02,0.0015
bitcoin,OKEx,XRP/BTC,9628460,9797.37,0.0015
bitcoin,Poloniex,XRP/BTC,9455570,9806.74,0.0015
bitcoin,Lbank,ETH/BTC,9263690,9685.68,0.0014000000000000002
bitcoin,OKEx,EOS/BTC,9017280,9786.68,0.0014000000000000002
bitcoin,Huobi,ETH/BTC,8964070,9792.83,0.0014000000000000002
bitcoin,Exmo,BTC/RUB,8882940,9402.24,0.0014000000000000002
bitcoin,Binance,EOS/BTC,8806490,9789.37,0.0014000000000000002
bitcoin,Upbit,TRX/BTC,8710630,9766.48,0.0013
bitcoin,Upbit,BTC/USDT,8438350,9856.67,0.0013
bitcoin,Bittrex,BCC/BTC,8388840,9782.89,0.0013
bitcoin,Lbank,ZEC/BTC,8263730,9797.68,0.0013
bitcoin,BitBay,BTC/PLN,8175260,9811.41,0.0013
bitcoin,Binance,MTL/BTC,8088900,9694.24,0.0012
bitcoin,Negocie Coins,BTC/BRL,7708550,10981.90,0.0
bitcoin,Liqui,TRX/BTC,7610270,9815.55,0.0012
bitcoin,Binance,WAVES/BTC,7370720,9824.23,0.0011
bitcoin,Binance,WTC/BTC,7199450,9718.82,0.0011
bitcoin,OKEx,XEM/BTC,7023390,10023.10,0.0011
bitcoin,BCEX,ETH/BTC,6999270,9544.13,0.0011
bitcoin,EXX,BCC/BTC,6902870,9690.66,0.0011
bitcoin,HitBTC,ZEC/BTC,6834300,9807.73,0.0011
bitcoin,Binance,ONT/BTC,6795400,9191.98,0.001
bitcoin,WEX,BCH/BTC,6784630 ,9801.51,0.001
bitcoin,Huobi,DASH/BTC,6733250,9832.18,0.001
bitcoin,Binance,XMR/BTC,6668930,9800.99,0.001
