name,symbol,liquidity,dev_score,community_score,public_interest_score,total_score,report_date
Bitcoin,BTC,4206057849,0.98,0.89,0.44,0.91,2018-03-14 00:12:46
Ethereum,ETH,993536744,0.94,0.75,0.41,0.84,2018-03-14 00:12:46
Ripple,XRP,328744000,0.83,0.72,0.37,0.78,2018-03-14 00:12:46
Litecoin,LTC,470135093,0.77,0.69,0.4,0.75,2018-03-14 00:12:46
Monero,XMR,71605063,0.9,0.67,0.41,0.75,2018-03-14 00:12:46
NEO,NEO,110873369,0.81,0.71,0.37,0.74,2018-03-14 00:12:46
EOS,EOS,190896554,0.88,0.59,0.38,0.74,2018-03-14 00:12:46
Stellar,XLM,24468657,0.86,0.61,0.42,0.71,2018-03-14 00:12:46
Cardano,ADA,143317855,0.87,0.56,0.34,0.71,2018-03-14 00:12:46
Bitcoin Cash,BCH,383832832,0.7,0.56,0.41,0.7,2018-03-14 00:12:46
Dash,DASH,80535997,0.84,0.55,0.4,0.7,2018-03-14 00:12:46
Ethereum Classic,ETC,196184638,0.81,0.5,0.4,0.7,2018-03-14 00:12:46
Tron,TRX,193559473,0.79,0.57,0.32,0.7,2018-03-14 00:12:46
Qtum,QTUM,109996000,0.84,0.49,0.35,0.68,2018-03-14 00:12:46
Zcash,ZEC,49248500,0.88,0.49,0.4,0.68,2018-03-14 00:12:46
Nano,NANO,36797678,0.8,0.59,0.3,0.68,2018-03-14 00:12:46
Dogecoin,DOGE,5331999,0.84,0.67,0.37,0.67,2018-03-14 00:12:46
Lisk,LSK,16632116,0.87,0.54,0.37,0.67,2018-03-14 00:12:46
Gas,GAS,6863266,0.81,0.71,0.34,0.66,2018-03-14 00:12:46
IOTA,IOT,17588866,0.63,0.63,0.44,0.66,2018-03-14 00:12:46
Waves,WAVES,23019700,0.83,0.49,0.42,0.65,2018-03-14 00:12:46
Golem,GNT,24366100,0.86,0.5,0.4,0.64,2018-03-14 00:12:46
Verge,XVG,6956286,0.8,0.56,0.37,0.64,2018-03-14 00:12:46
Siacoin,SC,6335430,0.88,0.53,0.33,0.64,2018-03-14 00:12:46
Status,SNT,19166775,0.86,0.45,0.4,0.63,2018-03-14 00:12:46
NEM,XEM,124028262,0.61,0.52,0.37,0.62,2018-03-14 00:12:46
Augur,REP,2439400,0.83,0.47,0.37,0.6,2018-03-14 00:12:46
BitShares,BTS,2784471,0.84,0.45,0.34,0.6,2018-03-14 00:12:46
Steem Dollars,SBD,3764795,0.87,0.51,0.48,0.6,2018-03-14 00:12:46
0x,ZRX,3882200,0.8,0.47,0.3,0.6,2018-03-14 00:12:46
Nebulas,NAS,26939676,0.79,0.42,0.34,0.59,2018-03-14 00:12:46
Enigma,ENG,5829311,0.81,0.46,0.32,0.59,2018-03-14 00:12:46
Digibyte,DGB,4077958,0.82,0.44,0.32,0.59,2018-03-14 00:12:46
Bytom,BTM,20624621,0.79,0.36,0.31,0.58,2018-03-14 00:12:46
PIVX,PIVX,1066383,0.81,0.47,0.36,0.58,2018-03-14 00:12:46
Decred,DCR,978984,0.82,0.45,0.37,0.58,2018-03-14 00:12:46
Factom,FCT,1439892,0.78,0.46,0.37,0.58,2018-03-14 00:12:46
ZCoin,XZC,944993,0.81,0.43,0.34,0.58,2018-03-14 00:12:46
Aeternity,AE,1940821,0.83,0.4,0.28,0.58,2018-03-14 00:12:46
Raiden Network Token,RDN,16558383,0.84,0.36,0.33,0.57,2018-03-14 00:12:46
ICON,ICX,32749395,0.47,0.53,0.43,0.57,2018-03-14 00:12:46
Storj,STORJ,21491455,0.7,0.47,0.29,0.57,2018-03-14 00:12:46
OmiseGo,OMG,24921300,0.51,0.47,0.33,0.57,2018-03-14 00:12:46
Stratis,STRAT,5498606,0.62,0.48,0.36,0.57,2018-03-14 00:12:46
Zilliqa,ZIL,16523811,0.72,0.35,0.27,0.56,2018-03-14 00:12:46
